label,seed,risk_mean,risk_relief,probe_rate,response_prob,response_delay_s,post_trigger_probe,workload,episode_length,retrieval_rate,probe_time_share,veh_time_share,total_steps,n_veh_onsets,n_lm_onsets,reached_goal,wall_s
PROBE_RELIEF_RATIO|down,20260705,0.11148,0.11574,10.10502,0.07692,0.18980,0.00000,2.85677,10.29609,0.94538,0.05527,0.01750,4285,13,21,True,155.4
PROBE_RELIEF_RATIO|down,20260706,0.12174,0.03278,10.53600,0.28571,0.99490,0.10000,3.02540,10.96552,1.54291,0.05718,0.00966,4347,7,20,True,156.3
PROBE_RELIEF_RATIO|down,20260707,0.12408,0.06374,10.66697,0.21429,0.50000,0.05556,3.06046,11.03955,1.14723,0.05866,0.01827,4378,14,18,True,157.3
PROBE_RELIEF_RATIO|down,20260708,0.12617,0.08715,10.35116,0.53333,0.18750,0.04348,3.10979,11.26705,1.71429,0.05623,0.01997,4357,15,23,True,156.9
PROBE_RELIEF_RATIO|down,20260709,0.11379,0.09451,10.30596,0.18182,0.00000,0.14286,2.85721,10.41530,1.17647,0.05631,0.01426,4347,11,21,True,159.9
ACTR_LOAD_RESUME_THRESHOLD|up,20260705,0.11986,0.10708,7.58950,0.23077,0.06327,0.22222,3.06631,11.05780,2.13592,0.03764,0.01862,4190,13,18,True,159.0
ACTR_LOAD_RESUME_THRESHOLD|up,20260706,0.11786,0.11342,9.56624,0.38462,0.51000,0.05000,3.03239,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,159.6
ACTR_LOAD_RESUME_THRESHOLD|up,20260707,0.11431,0.07930,7.56524,0.40000,1.02985,0.17391,3.00026,10.69006,1.64779,0.03840,0.01436,4177,10,23,True,158.3
ACTR_LOAD_RESUME_THRESHOLD|up,20260708,0.11805,0.10458,7.85143,0.22222,0.00000,0.08696,3.00614,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,159.8
ACTR_LOAD_RESUME_THRESHOLD|up,20260709,0.10951,0.08297,9.12154,0.50000,0.30606,0.00000,2.88150,10.27647,1.24434,0.04758,0.01444,4155,10,22,True,159.5
ACTR_LOAD_RESUME_THRESHOLD|down,20260705,0.11986,0.10708,7.58950,0.23077,0.06327,0.22222,3.06631,11.05780,2.13592,0.03764,0.01862,4190,13,18,True,502.7
ACTR_LOAD_RESUME_THRESHOLD|down,20260706,0.11786,0.11342,9.56624,0.38462,0.51000,0.05000,3.03239,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,502.8
ACTR_LOAD_RESUME_THRESHOLD|down,20260707,0.11431,0.07930,7.56524,0.40000,1.02985,0.17391,3.00026,10.69006,1.64779,0.03840,0.01436,4177,10,23,True,501.9
ACTR_LOAD_RESUME_THRESHOLD|down,20260708,0.11805,0.10458,7.85143,0.22222,0.00000,0.08696,3.00614,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,503.6
ACTR_LOAD_RESUME_THRESHOLD|down,20260709,0.10951,0.08297,9.12154,0.50000,0.30606,0.00000,2.88150,10.27647,1.24434,0.04758,0.01444,4155,10,22,True,503.0
MEMORY_ACTIVE_RETRIEVAL_TH|up,20260705,0.11986,0.10708,7.58950,0.23077,0.06327,0.22222,3.06631,11.05780,2.13592,0.03764,0.01862,4190,13,18,True,505.6
MEMORY_ACTIVE_RETRIEVAL_TH|up,20260706,0.11786,0.11342,9.56624,0.38462,0.51000,0.05000,3.03239,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,505.8
MEMORY_ACTIVE_RETRIEVAL_TH|up,20260707,0.11431,0.07930,7.56524,0.40000,1.02985,0.17391,3.00026,10.69006,1.64779,0.03840,0.01436,4177,10,23,True,504.0
MEMORY_ACTIVE_RETRIEVAL_TH|up,20260708,0.11805,0.10458,7.85143,0.22222,0.00000,0.08696,3.00614,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,505.7
MEMORY_ACTIVE_RETRIEVAL_TH|up,20260709,0.10951,0.08297,9.12154,0.50000,0.30606,0.00000,2.88150,10.27647,1.24434,0.04758,0.01444,4155,10,22,True,503.7
MEMORY_ACTIVE_RETRIEVAL_TH|down,20260705,0.11986,0.10708,7.58950,0.23077,0.06327,0.22222,3.06631,11.05780,2.13592,0.03764,0.01862,4190,13,18,True,156.4
MEMORY_ACTIVE_RETRIEVAL_TH|down,20260706,0.11786,0.11342,9.56624,0.38462,0.51000,0.05000,3.03239,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,156.8
MEMORY_ACTIVE_RETRIEVAL_TH|down,20260707,0.11431,0.07930,7.56524,0.40000,1.02985,0.17391,3.00026,10.69006,1.64779,0.03840,0.01436,4177,10,23,True,155.1
MEMORY_ACTIVE_RETRIEVAL_TH|down,20260708,0.11805,0.10458,7.85143,0.22222,0.00000,0.08696,3.00614,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,158.2
MEMORY_ACTIVE_RETRIEVAL_TH|down,20260709,0.10951,0.08297,9.12154,0.50000,0.30606,0.00000,2.88150,10.27647,1.24434,0.04758,0.01444,4155,10,22,True,155.1
MEMORY_ACTIVE_ABSENT_STEPS_TH|up,20260705,0.10429,0.11264,7.25054,0.21429,0.94660,0.09091,2.76301,9.98870,0.55741,0.03843,0.02010,4179,14,22,True,158.5
MEMORY_ACTIVE_ABSENT_STEPS_TH|up,20260706,0.11361,0.04752,8.78267,0.25000,1.06990,0.04762,2.94359,11.17964,0.50659,0.04561,0.01130,4247,8,21,True,159.9
MEMORY_ACTIVE_ABSENT_STEPS_TH|up,20260707,0.09947,0.09625,7.83981,0.42857,0.06327,0.09091,2.64718,10.02874,0.83682,0.04045,0.01019,4120,7,22,True,157.9
MEMORY_ACTIVE_ABSENT_STEPS_TH|up,20260708,0.10632,0.06956,7.96314,0.23077,0.00000,0.00000,2.79597,9.96133,0.42872,0.04240,0.01772,4232,13,21,True,161.9
MEMORY_ACTIVE_ABSENT_STEPS_TH|up,20260709,0.11526,0.05882,9.45320,0.10000,1.05000,0.00000,2.98897,10.26374,0.54407,0.05023,0.01344,4316,10,20,True,162.4
MEMORY_ACTIVE_ABSENT_STEPS_TH|down,20260705,0.11185,0.11344,8.88836,0.29412,0.41388,0.16667,2.92143,10.46552,2.83976,0.04477,0.02396,4174,17,18,True,161.2
MEMORY_ACTIVE_ABSENT_STEPS_TH|down,20260706,0.12243,0.05990,8.92857,0.20000,0.54490,0.04000,3.14704,10.84000,2.27723,0.04535,0.01410,4256,10,25,True,162.3
MEMORY_ACTIVE_ABSENT_STEPS_TH|down,20260707,0.11983,0.09874,8.90573,0.15385,0.54490,0.14286,3.08002,11.01765,2.39760,0.04461,0.01800,4222,13,14,True,162.4
MEMORY_ACTIVE_ABSENT_STEPS_TH|down,20260708,0.11994,0.09637,8.82765,0.20000,0.00000,0.00000,3.08279,10.58101,2.21551,0.04494,0.01401,4282,10,23,True,164.6
MEMORY_ACTIVE_ABSENT_STEPS_TH|down,20260709,0.11904,0.11312,8.45502,0.37500,0.47677,0.07407,3.10681,10.48276,1.70940,0.04353,0.00966,4246,8,27,True,164.5
LANDMARK_DECAY_RATE|up,20260705,0.11265,0.08357,7.81142,0.06667,0.00000,0.00000,3.09229,11.39881,0.97508,0.04007,0.02011,4327,15,24,True,168.5
LANDMARK_DECAY_RATE|up,20260706,0.10469,0.06530,8.40095,0.33333,0.54490,0.13636,2.87825,10.66667,2.02507,0.04158,0.01647,4190,12,22,True,164.6
LANDMARK_DECAY_RATE|up,20260707,0.11726,0.12228,8.52804,0.66667,0.61990,0.04545,3.12431,11.38953,1.85185,0.04253,0.00421,4280,3,22,True,165.4
LANDMARK_DECAY_RATE|up,20260708,0.10918,0.09101,8.33727,0.20000,0.18980,0.08000,2.95624,10.15761,1.48305,0.04248,0.00709,4234,5,25,True,165.8
